Time,DCF,SD,PMF
954,15210.2,0,18012.27
957,15210.2,0,18012.27
960,15210.2,0,18012.27
963,15210.2,0,18012.27
966,15210.2,0,18012.27
969,15210.2,0,18012.27
972,15210.2,0,18012.27
975,15210.2,0,18012.27
978,15210.2,0,18012.27
981,15210.2,0,18012.27
984,15210.2,0,18012.27
987,15210.2,0,18012.27
990,15210.2,0,18012.27
993,15210.2,0,18012.27
996,15210.2,0,18012.27
999,15210.2,0,18012.27
1002,15210.2,0,18012.27
1005,15210.2,0,18012.27
1008,15210.2,0,18012.27
1011,15210.2,0,18012.27
1014,15210.2,0,18012.27
1017,15210.2,0,18012.27
1020,15210.2,0,18012.27
1023,15210.2,0,18012.27
1026,15210.2,0,18012.27
1029,15210.2,0,18012.27
1032,15210.2,0,18012.27
1035,15210.2,0,18012.27
1038,15210.2,0,18012.27
1041,15210.2,0,18012.27
1044,15210.2,0,18012.27
1047,15210.2,0,18012.27
1050,15210.2,0,18012.27
1053,15210.2,0,18012.27
1056,15210.2,0,18012.27
1059,15210.2,0,18012.27
1062,15210.2,0,18012.27
1065,15210.2,0,18012.27
1068,15210.2,0,18012.27
1071,15210.2,0,18012.27
1074,15210.2,0,18012.27
1077,15210.2,0,18012.27
1080,15210.2,0,18012.27
1083,15210.2,0,18012.27
1086,15210.2,0,18012.27
1089,15210.2,0,18012.27
1092,15210.2,0,18012.27
1095,15210.2,0,18012.27
1098,15210.2,0,18012.27
1101,15210.2,0,18012.27
1104,15210.2,0,18012.27
1107,15210.2,0,18012.27
1110,15210.2,0,18012.27
1113,15210.2,0,18012.27
1116,15210.2,0,18012.27
1119,15210.2,0,18012.27
1122,15210.2,0,18012.27
1125,15210.2,0,18012.27
1128,15210.2,0,18012.27
1131,15210.2,0,18012.27
1134,15210.2,0,18012.27
1137,15210.2,0,18012.27
1140,15210.2,0,18012.27
1143,15210.2,0,18012.27
1146,15210.2,0,18012.27
1149,15210.2,0,18012.27
1152,15210.2,0,18012.27
1155,15210.2,0,18012.27
1158,15210.2,0,18012.27
1161,15210.2,0,18012.27
1164,15210.2,0,18012.27
1167,15210.2,0,18012.27
1170,15210.2,0,18012.27
1173,15210.2,0,18012.27
1176,15210.2,0,18012.27
1179,15210.2,0,18012.27
1182,15210.2,0,18012.27
1185,15210.2,0,18012.27
1188,15210.2,0,18012.27
1191,15210.2,0,18012.27
1194,15210.2,0,18012.27
1197,15210.2,0,18012.27
1200,15210.2,0,18012.27
1203,15210.2,0,18012.27
1206,15210.2,0,18012.27
1209,15210.2,0,18012.27
1212,15210.2,0,18012.27
1215,15210.2,0,18012.27
1218,15210.2,0,18012.27
1221,15210.2,0,18012.27
1224,15210.2,0,18012.27
1227,15210.2,0,18012.27
1230,15210.2,0,18012.27
1233,15210.2,0,18012.27
1236,15210.2,0,18012.27
1239,15210.2,0,18012.27
1242,15210.2,0,18012.27
1245,15210.2,0,18012.27
1248,15210.2,0,18012.27
1251,15210.2,0,18012.27
1254,15210.2,0,18012.27
1257,15210.2,0,18012.27
1260,15210.2,0,18012.27
1263,15210.2,0,18012.27
1266,15210.2,0,18012.27
1269,15210.2,0,18012.27
1272,15210.2,0,18012.27
1275,15210.2,0,18012.27
1278,15210.2,0,18012.27
1281,15210.2,0,18012.27
1284,15210.2,0,18012.27
1287,15210.2,0,18012.27
1290,15210.2,0,18012.27
