Time,Spillway,South saddle dam,North saddle dam,Left Non Overflow,Right Non Overflow,Saddle dam
130.0722623679822,95527.84602990108,10007.88489329084,6854.715680336192,65.98047070742855,2480.597692033248,101883.59458576201
130.2390216787104,95425.18865554665,9916.349222647352,6792.020015511885,63.09686368542404,2467.187597384656,102717.69766904067
130.40578098943857,95313.03610635313,9815.624148412347,6723.030238638594,59.96377925167698,2452.411632784021,103538.95904556262
130.57254030016676,95191.55692854754,9705.975140201832,6647.9281782204325,56.60225584001882,2436.302836254088,104347.39950777519
130.73929961089493,95060.9165811686,9587.671842082767,6566.898521974499,53.03487017083475,2418.894398684858,105143.04286149614
130.90605892162313,94921.27740392306,9460.98772983311,6480.128582077473,49.28584475784436,2400.219626355633,105925.9155390867
131.0728182323513,94772.79858825993,9326.199803820693,6387.808084808694,45.38119696705616,2380.311906340547,106696.0462304318
131.2395775430795,94615.63615105119,9183.588316411713,6290.12898384364,41.34894188930631,2359.204674648405,107453.46553032975
131.40633685380766,94449.94291017181,9033.43653294177,6187.285296535459,37.219367041290695,2336.931386947919,108198.20560085894
131.57309616453585,94275.86846115219,8876.030525361944,6079.472962576674,33.025406036965286,2313.5254917221637,108930.29984720143
131.73985547526402,94093.55915383932,8711.658997745559,5966.889724483259,28.80315343749388,2289.0204056861216,109649.78260525373
131.90661478599222,93903.5257793646,8540.613142828714,5849.735029334736,24.592589028108247,2263.4494912760733,110356.68883907622
132.07337409672039,93706.73752419715,8363.527985838458,5728.443825916753,20.446400389262127,2236.897312790477,111051.51425458974
132.24013340744858,93503.77835815241,8181.456401216672,5603.73726110731,16.4306691483568,2209.5116142008405,111735.34308821717
132.40689271817675,93294.75335663941,7995.079958759839,5476.082163534137,12.607694292028885,2181.3851917581133,112408.79463250628
132.57365202890495,93079.76486116143,7804.635610114377,5345.640828845464,9.040294791839294,2152.5439813726807,113071.89369743619
132.7404113396331,92858.91238083657,7610.36100830557,5212.576033086008,5.809314454909977,2123.013716315424,113724.66404974037
132.9071706503613,92632.29236601283,7412.4944943283945,5077.051023512599,3.0286545895039234,2092.819910738916,114367.12812729235
133.07392996108948,92399.99715890168,7211.274998810294,4939.229451239928,0.8900659617354927,2061.987827384329,114999.3065898865
133.24068927181767,92162.11622083661,7006.941259431787,4799.274835227251,0.0,2030.5423362368772,115621.2168052418
133.40744858254584,91918.739386028,6799.733094170393,4657.351434363282,0.0,1998.5080847133127,116232.87425236036
133.57420789327404,91669.95604621524,6589.894382899476,4513.626289657176,0.0,1965.9099350723673,116834.29660199083
133.7409672040022,91415.85319215198,6377.672441254835,4368.268795380024,0.0,1932.7728470534535,117425.50258380263
133.9077265147304,91156.51541695862,6163.316505595026,4221.449661366456,0.0,1899.121614177665,118006.50933906209
134.07448582545857,90889.45670014061,5947.077984792473,4073.3410854742965,0.0,1864.9808672057827,118577.33229260516
134.24124513618676,90606.96265202567,5727.10855960806,3922.677095621959,0.0,1830.0401145488283,119134.59730182898
134.40800444691496,90319.45567427878,5497.452943745263,3765.378728592646,0.0,1793.320403729118,119667.95939351441
134.57476375764313,90027.0128651438,5266.961285030285,3607.507729472798,0.0,1756.20470044029,120191.02425080075
134.74152306837132,89729.70864150801,5035.913215534204,3449.2556270782216,0.0,1718.7181913608724,120703.80252949028
134.9082823790995,89428.0350455154,4804.5928416964225,3290.817014860563,0.0,1680.885902725788,121206.30212513162
135.07504168982769,89127.77272993988,4573.4680871412875,3132.5123884529366,0.0,1642.7623173643922,121698.8440144659
135.24180100055585,88823.92838533342,4343.203478894403,2974.7969033523304,0.0,1604.434793855768,122182.1169506704
135.40856031128405,88516.54773726332,4114.263704918792,2817.988838985474,0.0,1565.9582858668216,122656.48613250212
135.57531962201222,88205.6743356491,3886.9031027355218,2662.262399133919,0.0,1527.3520432854284,123121.93803981582
135.7420789327404,87892.52230923346,3661.383379698977,2507.796835410258,0.0,1488.6352280769822,123578.45608097306
135.90883824346858,87580.36323527373,3437.9728463713577,2354.7759221721626,0.0,1449.8266055818483,124026.01681951742
136.07559755419678,87264.8636689757,3216.942916411723,2203.3855591861115,0.0,1410.9436966253538,124464.57973690539
136.24235686492494,86946.05753548215,2998.5787658546215,2053.8210725031654,0.0,1372.0043583924623,124894.10440458274
136.40911617565314,86623.976344074,2783.185610852337,1906.2915142824224,0.0,1333.0276473148365,125314.56054771978
136.5758754863813,86298.38325664292,2571.0836459938796,1761.016195886219,0.0,1294.03260894582,125725.91423183504
136.7426347971095,85969.41267607405,2362.610858429389,1618.226615362595,0.0,1255.0383647465985,126128.12864315759
136.90939410783767,85637.24373731417,2158.125782144438,1478.1683439345463,0.0,1216.0640973877394,126521.16375311353
137.07615341856587,85301.89714744042,1958.0105310156164,1341.1031034353537,0.0,1177.1289581528376,126904.97509695646
137.24291272929403,84963.28054809022,1762.6754850189009,1207.311976040343,0.0,1138.2521172060583,127279.5144422743
137.40967204002223,84621.18725680561,1572.5653075707305,1077.099525733377,0.0,1099.4528511818944,127644.73135217617
137.5764313507504,84275.95637055024,1388.166426725068,950.7989224144302,0.0,1060.7506136375143,128000.57536106807
137.7431906614786,83927.59416830036,1210.0159382189884,828.7780398760195,0.0,1022.1649375633865,128346.99757612705
137.90994997220676,83576.62435811348,1038.7140836092947,711.4480024721197,0.0,983.7153956194516,128683.95651379315
